diseaseNID	diseaseClassNID
1840	20
38	20
8033	20
13566	20
39	20
306	20
8031	20
7011	20
14892	20
8140	20
12805	20
7009	20
2346	20
891	20
7010	20
3830	20
7098	20
19868	20
13166	20
12271	20
20101	20
27971	20
6351	20
18368	20
13570	20
5826	20
8416	20
13567	20
13568	20
10353	20
11410	20
5251	20
7007	20
1569	20
7008	20
1427	20
893	20
13341	20
11031	20
3058	20
10976	20
7421	20
13058	20
20100	20
8446	20
7096	20
7006	20
3614	20
4425	20
3831	20
7094	20
13716	20
13980	20
1572	20
61	20
2696	20
892	20
958	20
4382	20
420	20
14019	20
13198	20
4114	20
12569	20
1838	20
2427	20
2605	20
2341	20
1827	20
3227	20
13378	20
7053	20
120	20
13106	20
7893	20
2515	20
7064	20
15303	20
13677	20
4281	20
3836	20
7095	20
13757	20
5250	20
15673	20
14016	20
7892	20
2047	20
15222	20
3813	20
2878	20
29316	20
2877	20
2607	20
2916	20
13340	20
9386	20
4424	20
2044	20
2256	20
13197	20
5616	20
11130	20
2788	20
1888	20
23264	20
7562	20
23505	20
15484	20
531	20
3377	20
2816	20
12213	20
9228	20
7894	20
3060	20
7063	20
15074	20
4467	20
12762	20
8457	20
3225	20
2487	20
12765	20
1443	20
13200	20
7005	20
1167	20
9199	20
2786	20
13342	20
7100	20
19978	20
12292	20
782	20
2325	20
13016	20
11262	20
7057	20
2471	20
7563	20
3358	20
7054	20
2865	20
3834	20
954	20
7085	20
29770	20
3823	20
533	20
13180	20
430	20
8190	20
5698	20
10180	20
12782	20
14747	20
23291	20
20848	20
3359	20
12494	20
1110	20
3829	20
8722	20
18730	20
27969	20
7004	20
7101	20
5348	20
2231	20
9971	20
8028	20
27922	20
7891	20
15610	20
13298	20
19739	20
17145	20
32	20
22140	20
8422	20
4229	20
8721	20
10539	20
3423	20
23283	20
26959	20
2876	20
5350	20
8415	20
2172	20
11418	20
21299	20
2764	20
2766	20
13843	20
2405	20
8460	20
12225	20
1717	20
7451	20
13109	20
10153	20
3034	20
530	20
6601	20
2324	20
7042	20
24069	20
3007	20
3821	20
2693	20
595	20
7099	20
3725	20
3033	20
2388	20
2192	20
13389	20
8860	20
2897	20
22212	20
8466	20
8858	20
16905	20
3062	20
8420	20
11494	20
20770	20
2046	20
29724	20
14810	20
24163	20
10760	20
21622	20
1019	20
11420	20
12280	20
10732	20
13033	20
2378	20
12568	20
23335	20
1997	20
91	20
1395	20
13755	20
389	20
22139	20
3613	20
7093	20
8447	20
11112	20
24106	20
15477	20
30011	20
5825	20
13281	20
7056	20
7033	20
691	20
1711	20
3692	20
1428	20
5806	20
8179	20
1817	20
12764	20
7298	20
3006	20
9974	20
13120	20
2456	20
8723	20
22748	20
1814	20
20029	20
1952	20
3208	20
1953	20
3550	20
2460	20
432	20
7016	20
15314	20
13534	20
26961	20
8413	20
14100	20
8904	20
3512	20
15230	20
15308	20
529	20
13117	20
29624	20
8455	20
3347	20
27935	20
8458	20
1579	20
7039	20
3835	20
10872	20
8423	20
9339	20
6323	20
3431	20
3820	20
966	20
3046	20
11801	20
436	20
4123	20
14870	20
5614	20
26976	20
3822	20
3080	20
2045	20
597	20
139	20
680	20
8381	20
