diseaseNID	diseaseClassNID	diseaseClassNID	vocabulary	diseaseClass	diseaseClassName	diseaseNID	diseaseId	diseaseName	type
1840	20	20	MSH	C01	   Infections	1840	C0024286	Lymphogranuloma Venereum	disease
38	20	20	MSH	C01	   Infections	38	C0001249	Actinobacillus Infections	disease
8033	20	20	MSH	C01	   Infections	8033	C0339916	Viral upper respiratory tract infection	group
13566	20	20	MSH	C01	   Infections	13566	C1274320	Recurrent herpes simplex infection of eye	disease
39	20	20	MSH	C01	   Infections	39	C0001261	Actinomycosis	group
306	20	20	MSH	C01	   Infections	306	C0004771	Bartonella Infections	group
8031	20	20	MSH	C01	   Infections	8031	C0339901	Acute respiratory infections	group
7011	20	20	MSH	C01	   Infections	7011	C0275584	Cutaneous nocardiosis	disease
14892	20	20	MSH	C01	   Infections	14892	C1504431	Idiopathic pneumonia syndrome	disease
8140	20	20	MSH	C01	   Infections	8140	C0341012	Oral herpes simplex infection	disease
12805	20	20	MSH	C01	   Infections	12805	C0878555	Diffuse panbronchiolitis	disease
7009	20	20	MSH	C01	   Infections	7009	C0275572	Dermatophilosis due to Dermatophilus congolensis	disease
2346	20	20	MSH	C01	   Infections	2346	C0030528	Paratyphoid Fever	disease
891	20	20	MSH	C01	   Infections	891	C0013502	Echinococcosis	disease
7010	20	20	MSH	C01	   Infections	7010	C0275583	Pulmonary Nocardiosis	disease
3830	20	20	MSH	C01	   Infections	3830	C0153092	Mumps meningitis	disease
7098	20	20	MSH	C01	   Infections	7098	C0277131	Angiostrongylus cantonensis infection	disease
19868	20	20	MSH	C01	   Infections	19868	C2028293	Haemophilus influenzae Type b Infection	disease
13166	20	20	MSH	C01	   Infections	13166	C1112709	non-gonococcal urethritis (NGU)	disease
12271	20	20	MSH	C01	   Infections	12271	C0850741	Smoker's lung	disease
20101	20	20	MSH	C01	   Infections	20101	C2350621	Eumycetoma	disease
27971	20	20	MSH	C01	   Infections	27971	C4303527	Variably protease sensitive prionopathy	disease
6351	20	20	MSH	C01	   Infections	6351	C0268095	Keshan disease	disease
18368	20	20	MSH	C01	   Infections	18368	C1858361	Pyogenic Arthritis, Pyoderma Gangrenosum and Acne	disease
13570	20	20	MSH	C01	   Infections	13570	C1274377	Vibrio vulnificus infection	disease
5826	20	20	MSH	C01	   Infections	5826	C0264480	Bakers' asthma	disease
8416	20	20	MSH	C01	   Infections	8416	C0343378	Helicobacter-associated gastritis	disease
13567	20	20	MSH	C01	   Infections	13567	C1274321	Recurrent herpes simplex labialis	disease
13568	20	20	MSH	C01	   Infections	13568	C1274323	Recurrent genital herpes simplex	disease
10353	20	20	MSH	C01	   Infections	10353	C0524688	Pneumonic Plague	disease
11410	20	20	MSH	C01	   Infections	11410	C0747256	Parasitic infection	group
5251	20	20	MSH	C01	   Infections	5251	C0238104	Chronic endometritis	disease
7007	20	20	MSH	C01	   Infections	7007	C0275551	Primary bacterial peritonitis	disease
1569	20	20	MSH	C01	   Infections	1569	C0021313	Infection of kidney	group
7008	20	20	MSH	C01	   Infections	7008	C0275553	Bacterial cholangitis	disease
1427	20	20	MSH	C01	   Infections	1427	C0020097	HTLV-I Infections	group
893	20	20	MSH	C01	   Infections	893	C0013505	Echinococcosis, Pulmonary	disease
13341	20	20	MSH	C01	   Infections	13341	C1260880	Rhinorrhea	phenotype
11031	20	20	MSH	C01	   Infections	11031	C0686709	Meningococcal conjunctivitis	disease
3058	20	20	MSH	C01	   Infections	3058	C0041188	Tropical pyomyositis	disease
10976	20	20	MSH	C01	   Infections	10976	C0684256	Bacterial sepsis	disease
7421	20	20	MSH	C01	   Infections	7421	C0280734	AIDS-related malignancies	group
13058	20	20	MSH	C01	   Infections	13058	C0950124	Disease due to Papilloma virus	group
20100	20	20	MSH	C01	   Infections	20100	C2350530	Bronchopulmonary Aspergillosis	disease
8446	20	20	MSH	C01	   Infections	8446	C0343731	Penile warts	phenotype
7096	20	20	MSH	C01	   Infections	7096	C0277004	Opisthorchis felineus Infection	disease
7006	20	20	MSH	C01	   Infections	7006	C0275550	Acute bacterial peritonitis	disease
3614	20	20	MSH	C01	   Infections	3614	C0151465	Renal abscess	disease
4425	20	20	MSH	C01	   Infections	4425	C0206044	Infections, Calicivirus	group
3831	20	20	MSH	C01	   Infections	3831	C0153167	Neurosyphilis, Asymptomatic	disease
