diseaseId	diseaseName	type	MeSH_tree_number	MeSH_heading
C0024286	Lymphogranuloma Venereum	disease	C01	   Infections
C0001249	Actinobacillus Infections	disease	C01	   Infections
C0339916	Viral upper respiratory tract infection	group	C01	   Infections
C1274320	Recurrent herpes simplex infection of eye	disease	C01	   Infections
C0001261	Actinomycosis	group	C01	   Infections
C0004771	Bartonella Infections	group	C01	   Infections
C0339901	Acute respiratory infections	group	C01	   Infections
C0275584	Cutaneous nocardiosis	disease	C01	   Infections
C1504431	Idiopathic pneumonia syndrome	disease	C01	   Infections
C0341012	Oral herpes simplex infection	disease	C01	   Infections
C0878555	Diffuse panbronchiolitis	disease	C01	   Infections
C0275572	Dermatophilosis due to Dermatophilus congolensis	disease	C01	   Infections
C0030528	Paratyphoid Fever	disease	C01	   Infections
C0013502	Echinococcosis	disease	C01	   Infections
C0275583	Pulmonary Nocardiosis	disease	C01	   Infections
C0153092	Mumps meningitis	disease	C01	   Infections
C0277131	Angiostrongylus cantonensis infection	disease	C01	   Infections
C2028293	Haemophilus influenzae Type b Infection	disease	C01	   Infections
C1112709	non-gonococcal urethritis (NGU)	disease	C01	   Infections
C0850741	Smoker's lung	disease	C01	   Infections
C2350621	Eumycetoma	disease	C01	   Infections
C4303527	Variably protease sensitive prionopathy	disease	C01	   Infections
C0268095	Keshan disease	disease	C01	   Infections
C1858361	Pyogenic Arthritis, Pyoderma Gangrenosum and Acne	disease	C01	   Infections
C1274377	Vibrio vulnificus infection	disease	C01	   Infections
C0264480	Bakers' asthma	disease	C01	   Infections
C0343378	Helicobacter-associated gastritis	disease	C01	   Infections
C1274321	Recurrent herpes simplex labialis	disease	C01	   Infections
C1274323	Recurrent genital herpes simplex	disease	C01	   Infections
C0524688	Pneumonic Plague	disease	C01	   Infections
C0747256	Parasitic infection	group	C01	   Infections
C0238104	Chronic endometritis	disease	C01	   Infections
C0275551	Primary bacterial peritonitis	disease	C01	   Infections
C0021313	Infection of kidney	group	C01	   Infections
C0275553	Bacterial cholangitis	disease	C01	   Infections
