DATABASE_ID	SMILES	MOLECULAR_WEIGHT	JCHEM_AVERAGE_POLARIZABILITY	JCHEM_BIOAVAILABILITY	JCHEM_DONOR_COUNT	JCHEM_FORMAL_CHARGE	JCHEM_NEUTRAL_CHARGE	JCHEM_NUMBER_OF_RINGS	JCHEM_PHYSIOLOGICAL_CHARGE	JCHEM_PKA	JCHEM_PKA_STRONGEST_ACIDIC	JCHEM_PKA_STRONGEST_BASIC	JCHEM_POLAR_SURFACE_AREA	JCHEM_REFRACTIVITY	JCHEM_ROTATABLE_BOND_COUNT
DB00007	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1	1209.3983	125.23746436496857	0	16	0	1	6	1	10.979074128694565	9.489202729908316	11.918318983199532	429.04	327.2417000000001	32
DB00014	CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	1269.4105	130.73574153273802	0	17	0	2	6	1	10.004730150548193	9.357764630931712	10.911998832479386	495.8899999999997	325.83880000000016	33
DB00091	CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	1202.635	133.60132638203973	0	5	0		1	0	12.234112317341314	11.825701333808036	-2.3937129676327564	278.79999999999995	327.1417	15
DB00126	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	176.1241	14.932525092170716	1	4	0	-1	1	-1	11.194661934216315	4.1599476901451	-2.979728932431362	107.22	37.0321	2
DB00143	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	307.323	29.30377029981135	1	6	0	-1	0	-1	3.737311352465548	1.9364037247697887	9.223740958320658	158.82	69.1149	9
DB00166	OC(=O)CCCC[C@@H]1CCSS1	206.326	21.744975428939433	1	1	0		1	-1		4.523468122735193		37.3	54.3714	5
DB00188	CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O	384.237	40.65072235381561	1	4	0	0	2	0	12.935952423377957	8.642948571164315	-0.585841951334518	124.44000000000001	99.37379999999999	9
DB00196	OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	306.2708	26.521181986627063	1	1	0	0	3	0		12.682658386975216	2.3012400328190075	81.65	97.1995	5
DB00203	CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1	474.576	51.17739859334627	1	1	0	0	4	0		11.144857276991443	5.992873256489963	109.13	139.44050000000001	6
DB00205	CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1	248.711	25.794130782433776	1	2	0	1	2	1		17.2220439554856	7.773183579634776	77.82	71.54200000000002	2
