source	dst
DB00002	DB00056
DB00002	DB00072
DB00002	DB00073
DB00002	DB00078
DB00002	DB00087
DB00002	DB00112
DB00002	DB01269
DB00002	DB05889
DB00002	DB06186
DB00002	DB06317
DB00002	DB06366
DB00002	DB06643
DB00002	DB06650
DB00002	DB08935
DB00002	DB09035
DB00002	DB09036
DB00002	DB09037
DB00002	DB09052
DB00002	DB09077
DB00002	DB09559
DB00002	DB11945
DB00002	DB00016
DB00007	DB00914
DB00007	DB01261
DB00007	DB01700
DB00007	DB00313
DB00007	DB00530
DB00007	DB00539
DB00007	DB00619
DB00007	DB01169
DB00007	DB04868
DB00007	DB05294
DB00007	DB06176
DB00007	DB08881
DB00007	DB11730
DB00007	DB11978
DB00007	DB00014
DB00007	DB00433
DB00007	DB00526
DB00007	DB00544
DB00007	DB00904
DB00007	DB06589
DB00007	DB06603
DB00007	DB08865
DB00007	DB09063
DB00007	DB09078
DB00007	DB11841
DB00007	DB12141
DB00007	DB12174
DB00007	DB12376
DB00007	DB14568
DB00007	DB01388
DB00007	DB11718
DB00007	DB00104
DB00007	DB00188
DB00007	DB00196
DB00007	DB00398
DB00007	DB00675
DB00007	DB01259
DB00007	DB01268
DB00007	DB02546
DB00007	DB05465
DB00007	DB06663
DB00007	DB06699
DB00007	DB06719
DB00007	DB06825
DB00007	DB08871
DB00007	DB08912
DB00007	DB00864
DB00007	DB01026
DB00007	DB01167
DB00007	DB01254
DB00007	DB11853
DB00007	DB00580
DB00007	DB00605
DB00007	DB00958
DB00007	DB00041
DB00007	DB00262
DB00007	DB00279
DB00007	DB00290
DB00007	DB00322
DB00007	DB00351
DB00007	DB00377
DB00007	DB00432
DB00007	DB00441
DB00007	DB00480
DB00007	DB00499
DB00007	DB00631
DB00007	DB00635
DB00007	DB00665
DB00007	DB00851
DB00007	DB00853
DB00007	DB00928
DB00007	DB01024
DB00007	DB01030
DB00007	DB01101
DB00007	DB01181
DB00007	DB06186
DB00007	DB06809
DB00007	DB06813
DB00007	DB08877
DB00007	DB08910
DB00007	DB08911
DB00007	DB09256
