Entry	Entry Name	Gene Names
Q96IZ6	MET2A_HUMAN	METTL2A METTL2 HSPC266
A0A087WW35	A0A087WW35_HUMAN	METTL2A
Entry	Entry Name	Gene Names
Entry	Entry Name	Gene Names
Q7Z7F7	RM55_HUMAN	MRPL55 UNQ5835/PRO19675
A0A0G2JMK5	A0A0G2JMK5_HUMAN	MRPL55
A0A087X2A2	A0A087X2A2_HUMAN	MRPL55
A0A0A0MST4	A0A0A0MST4_HUMAN	MRPL55
X6RIW1	X6RIW1_HUMAN	MRPL55
X6R631	X6R631_HUMAN	MRPL55 hCG_42248
A0A024R3U3	A0A024R3U3_HUMAN	MRPL55 hCG_42248
Entry	Entry Name	Gene Names
P0CJ72	HMN5_HUMAN	MTRNR2L5
Entry	Entry Name	Gene Names
Entry	Entry Name	Gene Names
Q6P1L6	ZN343_HUMAN	ZNF343
A0A669KB96	A0A669KB96_HUMAN	ZNF343
A0A0A0MSR0	A0A0A0MSR0_HUMAN	ZNF343
A0A0A0MT63	A0A0A0MT63_HUMAN	ZNF343
A0A087WZQ2	A0A087WZQ2_HUMAN	ZNF343
Entry	Entry Name	Gene Names
Q8IY49	PAQRA_HUMAN	MMD2 PAQR10
L0R6K8	L0R6K8_HUMAN	MMD2
Entry	Entry Name	Gene Names
Q8N6R0	EFNMT_HUMAN	METTL13 EEF1AKNMT FEAT KIAA0859 CGI-01
Entry	Entry Name	Gene Names
Q8WXG9	AGRV1_HUMAN	ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1
L8EBA1	L8EBA1_HUMAN	GPR98
Entry	Entry Name	Gene Names
Q9Y693	LHPL6_HUMAN	LHFPL6 LHFP
A0A024RDR1	A0A024RDR1_HUMAN	LHFP hCG_32195
Entry	Entry Name	Gene Names
Entry	Entry Name	Gene Names
Entry	Entry Name	Gene Names
Entry	Entry Name	Gene Names
Q96GV9	MACIR_HUMAN	MACIR C5orf30
Entry	Entry Name	Gene Names
Q86V97	KBTB6_HUMAN	KBTBD6
L8ECN4	L8ECN4_HUMAN	KBTBD6
