drugbank-id,assoc_cond
DB00305,Ab externo surgery Glaucoma
DB01390,Abdominal bloating
DB04924,Abdominal bloating
DB15820,Abdominal bloating
DB09278,Abdominal Cramping
DB09512,Abdominal Cramping
DB01616,Abdominal Pain
DB04924,Abdominal Pain
DB06723,Abdominal Pain
DB09512,Abdominal Pain
DB12554,Abdominal Pain
DB15776,Abdominal Pain
DB16527,Abdominal Pain
DB16537,Abdominal Pain
DB06751,Abdominal Pain caused by Gall Stones
DB06751,Abdominal Pain caused by Kidney Stones
DB12554,Abdominal Spasms
DB12554,"Abnormal Bowel Movement Such as Constipation, Diarrhea, Abdominal Pain"
DB16537,Abnormal Intestinal Absorption
DB00014,Abnormal Uterine Bleeding
DB00286,Abnormal Uterine Bleeding
DB00396,Abnormal Uterine Bleeding
DB00603,Abnormal Uterine Bleeding
DB00823,Abnormal Uterine Bleeding
DB01357,Abnormal Uterine Bleeding
DB09389,Abnormal Uterine Bleeding
DB00225,Abnormal vascularity
DB00187,Abnormal ventricular rate
DB00281,Abrasions
DB00994,Abrasions
DB06770,Abrasions
DB08604,Abrasions
DB09536,Abrasions
DB12751,Abrasions
DB14135,Abrasions
DB04948,Abrupt opioid withdrawal
DB13456,Abscess bacterial
DB00916,Abscess Brain
DB01212,Abscess Brain
DB00520,"Abscess, Intra-Abdominal"
DB00916,"Abscess, Intra-Abdominal"
DB01331,"Abscess, Intra-Abdominal"
DB01190,"Abscess, Intra-Abdominal caused by Anaerobic Bacterial Infection"
DB01141,Abscesses
DB01581,Abscesses
DB11119,Abscesses
DB01137,Abscesses caused by susceptible bacteria
DB00619,Accelerated Phase Chronic Myelogenous Leukemia (CML)
DB01254,Accelerated Phase Chronic Myelogenous Leukemia (CML)
DB04868,Accelerated Phase Chronic Myelogenous Leukemia (CML)
DB08901,Accelerated Phase Chronic Myelogenous Leukemia (CML)
DB01057,Accommodative component in esotropia
DB06196,ACE Inhibitor-associated Angioedema
DB06151,Acetaminophen Overdose
DB01987,Acetonemic vomiting
DB01115,Achalasia
DB00388,Aching caused by Flu caused by Influenza
DB00183,Achlorhydria
DB00863,Acid Aspiration Syndrome
DB00761,Acid- Base Balance
DB09449,Acid Base Imbalance
DB06723,Acid Regurgitation
DB12835,Acid Sphingomyelinase Deficiency (ASMD)
DB04272,Acidosis
DB09154,Acidosis
DB09449,Acidosis
DB12751,Acidosis
DB00254,Acinetobacter Infections
DB00759,Acinetobacter Infections
DB00138,Acne
DB00199,Acne
DB00421,Acne
DB00446,Acne
DB00620,Acne
DB00626,Acne
DB00936,Acne
DB03085,Acne
DB04815,Acne
DB08604,Acne
DB09096,Acne
DB09353,Acne
DB11326,Acne
DB11482,Acne
DB12965,Acne
DB13906,Acne
DB14104,Acne
DB14161,Acne
DB00982,Acne conglobata
DB03088,Acne NOS
DB00199,Acne Vulgaris
DB00210,Acne Vulgaris
DB00250,Acne Vulgaris
DB00256,Acne Vulgaris
DB00548,Acne Vulgaris
DB00620,Acne Vulgaris
DB00634,Acne Vulgaris
DB00635,Acne Vulgaris
DB00755,Acne Vulgaris
DB01110,Acne Vulgaris
DB01190,Acne Vulgaris
