drugbank_id	atc
DB00001	B01AE02
DB00002	L01FE01
DB00003	R05CB13
DB00004	L01XX29
DB00005	L04AB01
DB00006	B01AE06
DB00007	L02AE51
DB00007	L02AE02
DB00008	L03AB11
DB00008	L03AB61
DB00009	B01AD02
DB00009	S01XA13
DB00010	V04CD03
DB00010	H01AC04
DB00011	L03AB06
DB00012	B03XA02
DB00013	B01AD04
DB00014	L02AE03
DB00015	B01AD07
DB00016	B03XA01
DB00017	H05BA01
DB00018	H01AC04
DB00019	L03AA13
DB00020	L03AA09
DB00022	L03AB10
DB00022	L03AB60
DB00023	L01XX02
DB00024	H01AB01
DB00025	B02BD02
DB00026	L04AC03
DB00027	R02AB30
DB00028	L03AB60
DB00029	B01AD03
DB00030	A10AC01
DB00030	A10AE01
DB00030	A10AB01
DB00030	A10AD01
DB00030	A10AF01
DB00031	B01AD11
DB00032	G03GA02
DB00032	G03GA03
DB00033	G03GA03
DB00034	L03AB04
DB00035	H01BA02
DB00036	B02BD08
DB00038	L03AC02
DB00039	V03AF08
DB00040	H04AA01
DB00041	L03AC01
DB00042	M03AX01
DB00043	R03DX05
DB00044	G03GA07
DB00045	G03GA03
DB00046	A10AC04
DB00046	A10AB04
DB00046	A10AD04
DB00047	A10AE54
DB00047	A10AE04
DB00048	D03BA02
DB00048	M09AB02
DB00048	D03BA52
DB00049	V03AF07
DB00049	M04AX01
DB00050	H01CC02
DB00051	L04AB04
DB00052	H01AC01
DB00053	A16AB02
DB00054	B01AC13
DB00055	B01AD10
DB00056	L01FX02
DB00057	V09IB02
DB00058	B02AB02
DB00059	L01XX24
DB00060	L03AB07
DB00061	L03AX04
DB00062	B05AA01
DB00063	B01AC16
DB00065	L04AB02
DB00066	G03GA06
DB00066	G03GA10
DB00066	G03GA05
DB00067	G03GA05
DB00068	L03AB08
DB00069	L03AB09
DB00070	G03GA05
DB00071	A10AC03
DB00071	A10AB03
DB00071	A10AE03
DB00071	A10AD03
DB00072	L01FD01
DB00072	L01XY02
DB00073	L01FA01
DB00074	L04AC02
DB00075	L04AA02
DB00076	V03AB24
DB00078	V10XX02
DB00080	J01XX09
DB00081	V10XA53
DB00082	H01AX01
DB00083	M03AX01
DB00085	A09AA02
DB00086	B01AD01
DB00086	B06AA55
DB00087	L04AA34
DB00088	A16AB01
DB00089	V09IB04
DB00090	A16AB05
DB00091	L04AD01
DB00091	S01XA18
DB00092	L04AA15
DB00093	S01XA18
DB00094	G03GA04
DB00095	L04AA21
DB00097	G03GA08
DB00098	L04AA04
DB00099	L03AA02
DB00100	S01XA18
DB00102	D03AX06
DB00102	A01AD08
DB00103	A16AB04
DB00104	H01CB02
DB00105	L03AB05
DB00106	L02BX01
DB00107	G02AC01
DB00107	H01BB02
DB00108	L04AA23
DB00109	J05AX07
DB00110	J06BD01
DB00111	L04AC01
DB00112	L01FG01
DB00112	S01LA08
DB00113	V09IA06
DB00114	A11HA06
DB00115	B03BA01
DB00115	B03AE01
DB00115	B03BA51
DB00116	B03BA51
DB00117	B03BA51
DB00118	A16AA02
DB00119	B03BA51
DB00120	B03BA51
DB00121	A11HA05
DB00122	B03BA51
DB00123	V03AF11
DB00123	B05XB03
DB00125	V03AF11
DB00125	B05XB01
DB00126	G01AD03
DB00126	A11GA01
DB00126	A11GB01
DB00126	S01XA15
DB00127	S01XA15
DB00128	S01XA15
DB00129	A05BA06
DB00130	A16AA03
DB00131	S01XA15
DB00132	S01XA15
DB00133	S01XA15
DB00134	V03AB26
DB00135	S01XA15
DB00136	D05AX03
DB00136	A11CC04
DB00137	A11CC04
DB00138	A11CC04
DB00139	A11CC04
DB00140	A11HA04
DB00140	S01XA26
DB00141	S01XA26
DB00142	A09AB01
DB00143	V03AB32
DB00144	S01XA26
DB00145	B05CX03
DB00146	A11CC06
DB00146	H05BX05
DB00147	H05BX05
DB00148	H05BX05
DB00149	H05BX05
DB00150	N06AX02
DB00151	H05BX05
DB00152	A11DA01
DB00153	A11CC01
DB00154	H05BX05
DB00155	H05BX05
DB00156	H05BX05
DB00157	H05BX05
DB00158	B03AE02
DB00158	V04CX02
DB00158	B03BB01
DB00158	B03AE01
DB00158	B03BB51
DB00159	B03BB51
DB00160	B03BB51
DB00161	B03BB51
DB00162	S01XA02
DB00162	V04CB01
DB00162	D10AD02
DB00162	R01AX02
DB00162	A11CA01
DB00163	A11CA01
DB00165	J04AM08
DB00165	A11HA02
DB00166	A16AX01
DB00167	A11HA02
DB00168	A11HA02
DB00169	M05BB09
DB00169	M05BX53
DB00169	M05BB07
DB00169	M05BB08
DB00169	A11CC55
DB00169	M05BB05
DB00169	A11CC05
DB00169	M05BB03
DB00169	M05BB04
DB00170	B02BA02
DB00171	M05BB04
DB00172	M05BB04
DB00173	M05BB04
DB00174	M05BB04
DB00175	C10AA03
DB00175	C10BA11
DB00175	C10BA03
DB00175	C10BA12
DB00175	C10BX02
DB00176	N06AB08
DB00177	C09DX05
DB00177	C10BX10
DB00177	C09DA03
DB00177	C09CA03
DB00177	C09DX02
DB00177	C09DX01
DB00177	C09DB08
DB00177	C09DB01
DB00177	C09DX04
DB00178	C09BX03
DB00178	C10BX04
DB00178	C09BB05
DB00178	C09AA05
DB00178	C10BX18
DB00178	C10BX17
DB00178	C09BB07
DB00178	C09BX05
DB00178	C10BX06
DB00178	C09BA05
DB00179	L01XX10
DB00180	R01AD04
DB00180	R03BA03
DB00181	M03BX01
DB00182	N06BA01
DB00183	V04CG04
DB00184	N07BA01
DB00185	N07AX03
DB00186	N05BA56
DB00186	N05BA06
DB00187	C07AB09
DB00188	L01XG01
DB00189	N05CM08
DB00190	N05BA06
DB00191	A08AA01
DB00192	N05BA06
DB00193	N02AJ16
DB00193	N02AJ13
DB00193	N02AJ14
DB00193	N02AX02
DB00194	J05AB03
DB00194	S01AD06
DB00195	S01ED02
DB00195	C07AB05
DB00195	S01ED52
DB00196	J01RA07
DB00196	J02AC01
DB00196	D01AC15
DB00197	A10BG01
DB00198	J05AH02
DB00199	J01FA01
DB00199	D10AF02
DB00199	S01AA17
DB00199	D10AF52
DB00200	B03BA53
DB00200	V03AB33
DB00200	B03BA03
DB00201	D11AX26
DB00201	R03DA20
DB00201	V04CG30
DB00201	N06BC01
DB00202	M03AB01
DB00203	G01AE10
DB00203	G04BE03
DB00204	C01BD04
DB00205	P01BF09
DB00205	P01BD01
DB00205	P01BD51
DB00205	P01BF04
DB00206	C02LA51
DB00206	C02AA02
DB00206	C02LA01
DB00206	C02LA71
DB00206	C02AA52
DB00207	J01RA07
DB00207	S01AA26
DB00207	J01FA10
DB00208	B01AC05
DB00209	A03DA06
DB00209	G04BD09
DB00210	D10AD03
DB00210	D10AD53
DB00211	C01CA17
DB00212	C09XA01
DB00213	A02BD04
DB00213	A02BD11
DB00213	A02BC02
DB00214	C03CA04
DB00214	G01AE10
DB00215	N06AB04
DB00216	N02CC06
DB00217	C02CC01
DB00218	S01AE07
DB00218	J01MA14
DB00219	A03AB53
DB00219	A03AB03
DB00220	J05AE04
DB00221	A03AB03
DB00222	A10BD04
DB00222	A10BB12
DB00222	A10BD06
DB00223	D07AC10
DB00224	J05AE02
DB00225	V08CA03
DB00226	A10BD06
DB00227	C10AA02
DB00227	C10BA01
DB00228	N01AB04
DB00229	J01DC07
DB00230	N03AX16
DB00231	N05CD07
DB00232	C03AA08
DB00232	C03AB08
DB00233	J04AA02
DB00233	J04AA03
DB00233	J04AA01
DB00234	N06AX18
DB00235	C01CE02
DB00236	L01AX02
DB00237	N05CB01
DB00238	J05AG01
DB00238	J05AR05
DB00238	J05AR07
DB00239	D01AC11
DB00239	G01AF17
DB00239	G01AF20
DB00240	D07AB10
DB00240	S01BA10
DB00241	N05CB01
DB00242	L04AA40
DB00242	L01BB04
DB00243	C01EB18
DB00244	A07EC02
DB00245	N04AC01
DB00246	N05AE04
DB00247	N02CA04
DB00248	N04BC06
DB00248	G02CB03
DB00249	D06BB01
DB00249	J05AB02
DB00249	S01AD01
DB00250	D10AX05
DB00250	J04BA02
DB00251	G01AG02
DB00252	N03AB02
DB00252	N03AB52
DB00253	S01BA08
DB00254	J01AA02
DB00254	A01AB22
DB00254	J01AA20
DB00255	L02AA04
DB00255	L02AA01
DB00255	G03CC05
DB00255	G03CB02
DB00256	J01AA04
DB00256	J01AA20
DB00257	D01AC01
DB00257	A01AB18
DB00257	G01AF02
DB00257	G01AF20
DB00258	V03AE04
DB00258	A11GB01
DB00258	V03AE07
DB00259	G01AE10
DB00259	J01EB06
DB00259	D06BA05
DB00260	J04AB01
DB00261	L01XX35
DB00262	L01AD01
DB00263	J01EB05
DB00263	G01AE10
DB00263	S01AB02
DB00264	C07FB02
DB00264	C07FX05
DB00264	C07FX03
DB00264	C07FB13
DB00264	C07AB02
DB00264	C07BB52
DB00264	C07CB02
DB00264	C07BB02
DB00265	C07BB02
DB00266	B01AA01
DB00267	J01DD05
DB00268	N04BC04
DB00269	G03CA06
DB00270	C08CA03
DB00271	V08AA01
DB00272	V04CG02
DB00273	N03AX11
DB00274	J01DC09
DB00275	C09DA08
DB00275	C09DX03
DB00275	C09CA08
DB00275	C09DB02
DB00276	L01XX01
DB00277	R03DA54
DB00277	R03DA74
DB00277	R03DA20
DB00277	R03DA04
DB00277	R03DB04
DB00278	B01AE03
DB00279	H03AA03
DB00279	H03AA02
DB00280	C01BA03
DB00281	S01HA07
DB00281	D04AB01
DB00281	R02AD02
DB00281	C01BB01
DB00281	S02DA01
DB00281	N01BB52
DB00281	C05AD01
DB00281	N01BB02
DB00282	M05BA03
DB00283	D04AA14
DB00283	R06AA54
DB00283	R06AA04
DB00284	A10BD17
DB00284	A10BF01
DB00285	N06AX16
DB00286	G03CA57
DB00286	G03CC07
DB00287	S01EE04
DB00288	D07AC11
DB00289	N06BA09
DB00290	L01DC01
DB00291	L01AA02
DB00292	N01AX07
DB00293	L01BA03
DB00294	G03AC08
DB00295	A07DA52
DB00295	N02AA51
DB00295	N02AA01
DB00295	N02AG01
DB00296	N01BB09
DB00297	N01BB01
DB00297	N01BB59
DB00297	N01BB51
DB00298	S01EX02
DB00299	D06BB06
DB00299	J05AB13
DB00300	J05AR27
DB00300	J05AF07
DB00300	J05AR08
DB00300	J05AR11
DB00300	J05AR09
DB00300	J05AR06
DB00300	J05AR24
DB00300	J05AR12
DB00300	J05AR03
DB00301	J01CR50
DB00301	J01CF05
DB00302	B02AA02
DB00303	J01DH03
DB00304	G03AC09
DB00304	G03FB10
DB00304	G03AB05
DB00304	G03AA09
DB00305	L01DC03
DB00306	N05CA07
DB00307	L01XF03
DB00308	C01BD05
DB00309	L01CA03
DB00310	G01AE10
DB00310	C03EA06
DB00310	C03BB04
DB00310	C03BA04
DB00311	C03BA04
DB00312	N05CB01
DB00312	N05CA01
DB00313	N03AG01
DB00314	J04AB30
DB00315	N02CC03
DB00316	N02BE71
DB00316	N02BE01
DB00316	N02AJ13
DB00316	N02AJ17
DB00316	N02BE51
DB00316	N02AJ06
DB00316	N02AJ01
DB00317	L01EB01
DB00318	N02AA79
DB00318	R05DA04
DB00318	N02AA59
DB00318	N02AJ08
DB00318	N02AJ06
DB00318	N02AJ07
DB00319	J01CR50
DB00319	J01CA12
DB00320	N02CA51
DB00320	N02CA01
DB00321	N06AA09
DB00321	N06CA01
DB00322	L01BC09
DB00323	N04BX01
DB00324	D07XB04
DB00324	D07AB06
DB00324	S01BA07
DB00324	S01BB03
DB00324	C05AA06
DB00324	D07CB03
DB00324	S01CB05
DB00324	S01CA07
DB00324	D10AA01
DB00325	C02DD01
DB00326	A12AA10
DB00327	N02AA53
DB00327	N02AA03
DB00327	N02AG04
DB00328	S01CC02
DB00328	M01AB51
DB00328	S01BC01
DB00328	M02AA23
DB00328	M01AB01
DB00328	C01EB03
DB00330	J04AK02
DB00330	J04AM03
DB00330	J04AM06
DB00330	J04AM07
DB00331	A10BD23
DB00331	A10BD02
DB00331	A10BD18
DB00331	A10BD11
DB00331	A10BD25
DB00331	A10BA02
DB00331	A10BD22
DB00331	A10BD14
DB00331	A10BD16
DB00331	A10BD17
DB00331	A10BD05
DB00331	A10BD15
DB00331	A10BD07
