name	drugbank-id	type	atc	cas	rxcui	unii	uniprot_kb	drugbank-id-2	synonyms	InChI
Lepirudin	DB00001	biotech	B01AE02	138068-37-8	237057	Y43GF64R34	P01050	BIOD00024 | BTD00024	[Leu1, Thr2]-63-desulfohirudin | Desulfatohirudin | Hirudin variant-1 | Lepirudin | Lepirudin recombinant | R-hirudin	
Cetuximab	DB00002	biotech	L01FE01	205923-56-4	318341	PQX0D8J21J	P01050	BIOD00071 | BTD00071	Cetuximab | Cétuximab | Cetuximabum	
Dornase alfa	DB00003	biotech	R05CB13	143831-71-4	337623	953A26OA1Y	P24855	BIOD00001 | BTD00001	Deoxyribonuclease (human clone 18-1 protein moiety) | Dornasa alfa | Dornase alfa | Dornase alfa, recombinant | Dornase alpha | Recombinant deoxyribonuclease (DNAse)	
Denileukin diftitox	DB00004	biotech	L01XX29	173146-27-5	214470	25E79B5CTM	P00587	BIOD00084 | BTD00084	Denileukin | Denileukin diftitox | Interleukin-2/diptheria toxin fusion protein	
Etanercept	DB00005	biotech	L04AB01	185243-69-0	214555	OP401G7OJC	P20333	BIOD00052 | BTD00052	Etanercept | etanercept-szzs | etanercept-ykro | Recombinant human TNF | rhu TNFR:Fc | rhu-TNFR:Fc | TNFR-Immunoadhesin	
Bivalirudin	DB00006	small molecule	B01AE06	128270-60-0	60819	TN9BEX005G	P20333	BIOD00076 | BTD00076 | DB02351 | EXPT03302	Bivalirudin | Bivalirudina | Bivalirudinum	OIRCOABEOLEUMC-GEJPAHFPSA-N
Leuprolide	DB00007	small molecule	L02AE51	53714-56-0	42375	EFY6W0M8TG	P20333	BIOD00009 | BTD00009	Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum	GFIJNRVAKGFPGQ-LIJARHBVSA-N
Peginterferon alfa-2a	DB00008	biotech	L03AB11	198153-51-4	120608	Q46947FE7K	P01563	BIOD00043 | BTD00043	PEG-IFN alfa-2A | PEG-Interferon alfa-2A | Peginterferon alfa-2a | Pegylated Interfeaon alfa-2A | Pegylated interferon alfa-2a | Pegylated interferon alpha-2a | Pegylated-interferon alfa 2a	
Alteplase	DB00009	biotech	B01AD02	105857-23-6	8410	1RXS4UE564	P00750	BIOD00050 | BTD00050	Alteplasa | Alteplase | Alteplase (genetical recombination) | Alteplase, recombinant | Alteplase,recombinant | Plasminogen activator (human tissue-type protein moiety) | rt-PA | t-PA | t-plasminogen activator | Tissue plasminogen activator | Tissue plasminogen activator alteplase | Tissue plasminogen activator, recombinant | tPA	
Sermorelin	DB00010	biotech	V04CD03	86168-78-7	56188	89243S03TE	P00750	BIOD00033 | BTD00033	Sermorelin	
Interferon alfa-n1	DB00011	biotech	L03AB06	74899-72-2	202912	41697D4Z5C	P01563	BIOD00096 | BTD00096 | DB00084	Interferon alfa-n1 | Interferon alpha-n1 (INS)	
Darbepoetin alfa	DB00012	biotech	B03XA02	209810-58-2	283838	15UQ94PT4P	P01588	BIOD00032 | BTD00032	Darbepoetin | Darbepoetin alfa | Darbepoetin alfa,recombinant | Darbepoetina alfa	
Urokinase	DB00013	biotech	B01AD04	9039-53-6	11055	83G67E21XI	P00749	BIOD00030 | BTD00030	Kinase (enzyme-activating), uro-urokinase | TCUK | Tissue culture urokinase | Two-chain urokinase | Urochinasi | Urokinase | Urokinasum | Uroquinasa	
Goserelin	DB00014	small molecule	L02AE03	65807-02-5	50610	0F65R8P09N	P00749	BIOD00113 | BTD00113	Goserelin | Goserelina	BLCLNMBMMGCOAS-URPVMXJPSA-N
Reteplase	DB00015	biotech	B01AD07	133652-38-7	76895	DQA630RIE9	P00750	BIOD00013 | BTD00013	Human t-PA (residues 1-3 and 176-527) | Reteplasa | Reteplase | Reteplase, recombinant | Reteplase,recombinant	
Erythropoietin	DB00016	biotech	B03XA01	11096-26-7	105694	64FS3BFH5W	P01588	BIOD00103 | BTD00103 | DB08923	E.P.O. | Epoetin alfa | Epoetin alfa rDNA | Epoetin alfa-epbx | Epoetin alfa, recombinant | Epoetin beta | Epoetin beta rDNA | Epoetin epsilon | Epoetin gamma | Epoetin gamma rDNA | Epoetin kappa | Epoetin omega | Epoetin theta | Epoetin zeta | Epoetina alfa | Epoetina beta | Epoetina dseta | Epoetina zeta | Epoétine zêta | Epoetinum zeta | Erythropoiesis stimulating factor | Erythropoietin (human, recombinant) | Erythropoietin (recombinant human) | ESF | SH-polypeptide-72	
Salmon calcitonin	DB00017	biotech	H05BA01	47931-85-1	36118	7SFC6U2VI5	P01263	BIOD00025 | BTD00025	Calcitonin (Salmon Synthetic) | Calcitonin salmon | Calcitonin salmon recombinant | Calcitonin-salmon | Calcitonin, salmon | Calcitonina salmón sintética | Recombinant salmon calcitonin | Salmon calcitonin	
Interferon alfa-n3	DB00018	biotech			612937	47BPR3V3MP	P01263	BIOD00023 | BTD00023	Interferon alfa-n3	
Pegfilgrastim	DB00019	biotech	L03AA13	208265-92-3	338036	3A58010674	P09919	BIOD00094 | BTD00094	Granulocyte colony-stimulating factor pegfilgrastim | peg-filgrastim | Pegfilgrastim | pegfilgrastim-apgf | pegfilgrastim-bmez | pegfilgrastim-cbqv | pegfilgrastim-jmdb	
Sargramostim	DB00020	biotech	L03AA09	123774-72-1	69634	5TAA004E22	P04141	BIOD00035 | BTD00035	Recombinant human granulocyte-macrophage colony stimulating factor | rGM-CSF | rHu GM-CSF | Sargramostim	
Peginterferon alfa-2b	DB00022	biotech	L03AB10	215647-85-1	253453	G8RGG88B68	P01563	BIOD00048 | BTD00048	Peginterferon alfa-2b	
Asparaginase Escherichia coli	DB00023	biotech	L01XX02	9015-68-3	1156	G4FQ3CKY5R	P37595	BIOD00011 | BTD00011	Asparaginase | Asparaginase (E. coli) | Colaspase | Escherichia coli L-asparaginase | L-asparaginase | L-asparagine amidohydrolase	
