ensembl_id	uniprotkb_id	gene_names	is_known_drug_tgt	is_disease_associated
ENSP00000419539	Q8IX94	CTAGE4	False	False
ENSP00000474279	S4R3F8	S4R3F8	False	False
ENSP00000347168	P62805	H4C1	False	True
ENSP00000347168	P62805	H4C9	False	True
ENSP00000347168	P62805	H4C4	False	True
ENSP00000347168	P62805	H4C6	False	True
ENSP00000347168	P62805	H4C12	False	True
ENSP00000347168	P62805	H4C11	False	True
ENSP00000347168	P62805	H4C3	False	True
ENSP00000347168	P62805	H4C8	False	True
ENSP00000347168	P62805	H4C2	False	True
ENSP00000347168	P62805	H4C5	False	True
ENSP00000347168	P62805	H4C13	False	True
ENSP00000347168	P62805	H4C14	False	True
ENSP00000347168	P62805	H4-16	False	True
ENSP00000347168	P62805	H4C15	False	True
ENSP00000347168	P62805	H4/A	False	True
ENSP00000347168	P62805	H4FA	False	True
ENSP00000347168	P62805	HIST1H4A	False	True
ENSP00000347168	P62805	H4/I	False	True
ENSP00000347168	P62805	H4FI	False	True
ENSP00000347168	P62805	HIST1H4B	False	True
ENSP00000347168	P62805	H4/G	False	True
ENSP00000347168	P62805	H4FG	False	True
ENSP00000347168	P62805	HIST1H4C	False	True
ENSP00000347168	P62805	H4/B	False	True
ENSP00000347168	P62805	H4FB	False	True
ENSP00000347168	P62805	HIST1H4D	False	True
ENSP00000347168	P62805	H4/J	False	True
ENSP00000347168	P62805	H4FJ	False	True
ENSP00000347168	P62805	HIST1H4E	False	True
ENSP00000347168	P62805	H4/C	False	True
ENSP00000347168	P62805	H4FC	False	True
ENSP00000347168	P62805	HIST1H4F	False	True
ENSP00000347168	P62805	H4/H	False	True
ENSP00000347168	P62805	H4FH	False	True
ENSP00000347168	P62805	HIST1H4H	False	True
ENSP00000347168	P62805	H4/M	False	True
ENSP00000347168	P62805	H4FM	False	True
ENSP00000347168	P62805	HIST1H4I	False	True
ENSP00000347168	P62805	H4/E	False	True
ENSP00000347168	P62805	H4FE	False	True
ENSP00000347168	P62805	HIST1H4J	False	True
ENSP00000347168	P62805	H4/D	False	True
ENSP00000347168	P62805	H4FD	False	True
ENSP00000347168	P62805	HIST1H4K	False	True
ENSP00000347168	P62805	H4/K	False	True
ENSP00000347168	P62805	H4FK	False	True
ENSP00000347168	P62805	HIST1H4L	False	True
ENSP00000347168	P62805	H4/N	False	True
ENSP00000347168	P62805	H4F2	False	True
ENSP00000347168	P62805	H4FN	False	True
ENSP00000347168	P62805	HIST2H4	False	True
ENSP00000347168	P62805	HIST2H4A	False	True
ENSP00000347168	P62805	H4/O	False	True
ENSP00000347168	P62805	H4FO	False	True
ENSP00000347168	P62805	HIST2H4B	False	True
