umls_cid	meddra_id	name
C0000727	10000647	Acute abdomen
C0000727	10042784	Syndrome abdominal acute
C0000727	10000096	Abdominal syndrome acute
C0000729	10000057	Abdominal cramps
C0000729	10000056	Abdominal cramp
C0000729	10011286	Cramp abdominal
C0000729	10000058	Abdominal crampy pains
C0000729	10018727	Griping abdominal
C0000729	10018726	Griping abdomen
C0000731	10013480	Distended abdomen
C0000731	10000060	Abdominal distension
C0000731	10042714	Swollen abdomen
C0000731	10042679	Swelling abdomen
C0000731	10042678	Swelling abd
C0000734	10000077	Abdominal mass
C0000734	10000078	Abdominal mass NOS
C0000734	10026868	Mass in abdomen
C0000735	10048830	Abdominal neoplasm NOS
C0000735	10060925	Abdominal neoplasm
C0000735	10062368	Abdominal tumor
C0000735	10048885	Abdominal tumour
C0000737	10033374	Pain abdominal
C0000737	10000081	Abdominal pain
C0000737	10000085	Abdominal pain NOS
C0000737	10000039	Abd. pain
C0000737	10000040	Abdo pain
C0000737	10033373	Pain abdo
C0000737	10018796	Gut pain
C0000766	10048065	X-ray abnormal
C0000766	10048069	X-ray NOS abnormal
C0000767	10038255	Reflexes abnormal NEC
C0000768	10010316	Congenital abnormality NOS
C0000768	10048305	Birth defects
C0000768	10010356	Congenital anomaly
C0000768	10002617	Anomaly congenital
C0000768	10010357	Congenital anomaly NOS
C0000768	10002614	Anomaly anomaly congen
C0000768	10010365	Congenital anomaly, unspecified
C0000768	10060919	Foetal malformation
C0000768	10060920	Fetal malformation
C0000768	10012563	Developmental disturbance
C0000770	10000194	Abnormalities of size and form of teeth
C0000772	10028183	Multiple congenital anomalies
C0000772	10002585	Anomalies congenital multiple
C0000772	10002621	Anomaly congenital multiple (NOS)
C0000772	10025533	Malformations multiple
C0000772	10028182	Multiple congenital abnormalities
C0000772	10028185	Multiple congenital malformations
C0000774	10061165	Gastrin secretion disorder
C0000774	10017851	Gastrin secretion disorder NOS
C0000774	10000203	Abnormality of secretion of gastrin
C0000786	10041687	Spontaneous abortion
C0000786	10000234	Abortion spontaneous
C0000786	10000241	Abortion spontaneous NOS
C0000786	10000235	Abortions spontaneous
C0000786	10027649	Miscarriage
C0000786	10027650	Miscarriage of pregnancy
C0000804	10021356	Illegally induced abortion
C0000804	10000224	Abortion induced illegally
C0000809	10062935	Habitual abortion
C0000809	10038104	Recurrent abortion
C0000810	10061617	Abortion spontaneous incomplete
C0000810	10000240	Abortion spontaneous incomplete NOS
C0000814	10027704	Missed abortion
C0000814	10000230	Abortion missed
C0000817	10040056	Septic abortion
C0000817	10000229	Abortion infective
C0000817	10000228	Abortion infected
C0000817	10021767	Infected abortion
C0000820	10043406	Therapeutic abortion
C0000821	10043504	Threatened abortion
C0000821	10000242	Abortion threatened
C0000821	10043505	Threatened abortion, antepartum
C0000822	10059036	Tubal abortion
C0000827	10000261	Abrasion or friction burn of other, multiple, and unspecified sites, without mention of infection
C0000832	10000267	Abruptio placentae
C0000832	10036608	Premature separation of placenta
C0000832	10036610	Premature separation of placenta, unspecified as to episode of care
C0000832	10053595	Premature placental detachment
C0000833	10000269	Abscess
C0000833	10000287	Abscess NOS
